"Listing"

"WFR Listing"
"Created 09 March 2022 20:03"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
11601843,"Regional",,,"East Coast South America","South America","Atlantic",,,100,,,,,,,,,,,,,,,,,,,,6.33,"FCC",,,,,,"N"
12397075,"International",,,,,"Pacific",,,,,,,70,,,22,,8,,,,,,,,,,"F",17.71,"FCC",,"Aft"
12397109,"International",,,,,"Pacific",,,,,,,36,,,41,,23,,,,,,,,,,"F",17.7,"FCC",,"Aft",,,,"N"
12406249,"International",,,,,"Pacific",,,,,,,32,,,58,,10,,,,,,,,,,,17.69,"FCC",,"Aft"
12406373,"International",,,,,"Pacific",,,,,,,37,,,40,,22,,,,,,,,,,"F",17.7,"FCC",,"Aft",,,,"N"
12784011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,"FCC",,,,15,,"N"
12785771,"International",,,,,"Atlantic",,,,,15,1,,85,,,,,,,,,,,,,,,18.8,"FCC",,"Aft",,13,400,"N"
12789061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"FCC",,,5,12,100,"N"
12789195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"FCC",,,5,12,100,"N"
12789937,"National",,"United States","West Coast North America","North America","Pacific",100,,,,,,,,,,,,,,,,,,,,,,20.26,"FCC",,,,13,300,"N"
12790083,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontoon",13.4,"FCC",,"Aft",5,10,150,"N"
12790117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,"Aft",5,10,150,"N"
