"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
12953585,,,,,,"Taiwan",12415,12981,"Gard P&I",,"30-Sep-2021",,,"21-Sep-2026",50.1,,13021.81,150,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","Evergreen H.I.","Evergreen H.I."
12953619,,,,,,"Taiwan",12415,12981,"Gard P&I",,"14-Aug-2021",,,"10-Aug-2026",50.1,,13021.81,150,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","Evergreen H.I.","Evergreen H.I."
12972449,,,,,,,,,"West of England P&I",,"10-Jun-2021",,,"09-Jun-2026",66.5,,18775.29,191.8,"Y",,,"Xin Ou Shipping","China P.R.","Sea Consortium","Singapore",,,,,,,,"Germany","Singapore",1890,,"Xin Ou Shipping","Aker MTW Werft","Aker MTW Werft"
12977365,29668,,,,,,,,"West of England P&I",,"16-Aug-2021",,,"29-Apr-2026",54.5,,14191.12,171.94,"Y",,,"Brilliance Lines","U.A.E.","Sea Lead Shipping","Singapore",,,,,,,,"Poland","Singapore",1120,,"Brilliance Lines","Szczecin Shipyard","Szczecin Shipyard"
12977815,,,,,,,,,"UK P&I Club",,"17-Dec-2017",,,"07-Nov-2022",21,,14109.46,171.94,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Poland","Switzerland",1120,,"MSC","Szczecin Shipyard","Szczecin Shipyard"
12984413,,,,,,,,,,,"07-Jun-2009",,,"07-Jun-2014",,,6244.91,107.48,"Y",,,"Oceanic Container","Philippines","Oceanic Container","Philippines",,,,,,,,"China P.R.","Philippines",270,,"Oceanic Container","Jiangyang S.Y.","Jiangyang S.Y."
12984547,,,,"Y",,"NYSE",,,"Steamship Mutual P&I",,"02-Dec-2019",,,"30-Nov-2024",,,6244.91,108.48,"Y",,,"Tranz Pacific Ship M","New Zealand","Matson Inc","United States",,,,,,,,"China P.R.","United States",270,,"Tranz Pacific Ship M","Jiangyang S.Y.","Jiangyang S.Y."
12984671,,,,,,,,,,,"05-Mar-2009",,,"05-Mar-2014",17,,6244.91,107.48,"Y",,,"Oceanic Container","Philippines","Oceanic Container","Philippines",,,,,,,,"China P.R.","Philippines",270,,"Oceanic Container","Jiangyang S.Y.","Jiangyang S.Y."
13004749,,,,,,,,,"UK P&I Club",,"19-Apr-2019",,,"30-Jun-2024",42,,9854.39,138.55,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Romania","Switzerland",650,,"MSC","Santierul Naval","Santierul Naval"
13006877,,,,,,,,,"Standard Club P&I",,"02-Jan-2020",,,"30-Nov-2024",54.5,,14074.31,171.94,"Y",,,"Aboitiz Jebsens","Philippines","MSC","Italy",,,,,,,,"Poland","Switzerland",1120,,"Aboitiz Jebsens","Szczecin Shipyard","Szczecin Shipyard"
13006901,,,,,"As is S'pore",,,,,,"26-Dec-2014",,,"26-Dec-2019",54.5,,14074.31,171.4,"Y",,,"Lomar Shipping","United Kingdom",,,,,,,,,,"Poland",,1120,"Indian Sub cont","Lomar Shipping","Szczecin Shipyard","Szczecin Shipyard"
13018425,,,,,,,,,,,"01-Feb-2005",,,"01-Feb-2010",51,,14961.28,167.74,"N",,,"Djakarta Lloyd","Indonesia","Djakarta Lloyd","Indonesia",,,,,,,,"Indonesia","Indonesia",1350,,"Djakarta Lloyd","PT PAL Indonesia","PT PAL Indonesia"
13019477,,,,,,,,16428,"Standard Club P&I",,"07-Apr-2019",,,"31-Mar-2024",19,,14191.12,172.36,"Y",,,"AIMS Shipping","Greece","Sea Consortium","Singapore",,,,,,,,"Poland","Singapore",1148,,"AIMS Shipping","Szczecin Shipyard","Szczecin Shipyard"
13025315,,,,,,,,,"Standard Club P&I",,"22-Feb-2019",,,"30-Mar-2024",44,,14674.84,170.3,"Y",,,"PIL","Singapore","Karnaphuli Group","Bangladesh",,,,,,,,"Japan","Bangladesh",1168,,"PIL","Shin Kurushima","Shin Kurushima Group"
13025449,,,,,,,,,"Standard Club P&I",,"30-Jun-2019",,,"29-Jun-2024",44,,14674.84,170,"Y",,,"PIL","Singapore","PIL","Singapore",,,,,,,,"Japan","Singapore",1200,,"PIL","Shin Kurushima","Shin Kurushima Group"
