"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16150441,9479046,538008875,"Bulk","Bumblebee",55628,2011,"Mitsui SB (Tamano)",,,"11-Feb-2022","USD",20.5,"Middle Eastern interests","Unknown","Taylor Maritime","Hong Kong",,,,8500,,"31-Dec-2007",,,,"Y",5,5,,70810,,"N",,,,55628,31250,10
15391001,9303869,249967000,"Bulk","Pola Anisia",46412,2006,"Oshima Shipbuilding",,,"10-Feb-2022","USD",13.4,"Undisclosed interests","Unknown","Pola Maritime","Russia",,,,7050,,"31-Jan-2003",,,,"Y",5,5,,58209,,"N",,,,46412,25531,16
16050929,9406477,372624000,"Bulk","Baosteel Evolution",206331,2007,"Imabari SB Saijo",,,"10-Feb-2022","USD",19.5,"Greek interests","Greece","Shikishima Kisen","Japan",,,,,,"01-Jan-2005",,,,"N",9,9,,220022,,,,,,206331,104721,14
16057823,9392420,372895000,"Bulk","Navios Prosperity",82535,2007,"Tsuneishi Zosen",,,"10-Feb-2022","USD",16.4,"Undisclosed interests","Unknown","Keishin Kaiun K.K.","Japan",,,,10700,,"01-Jan-2006",,,,"N",7,7,,97233,"N","N",,,,82535,42887,14
16213939,9626986,636019091,"Bulk","Gravity",56546,2014,"Jiangsu Hantong HI",,,"10-Feb-2022","USD",16.8,"Chinese interests","China P.R.","Tiara Nvgtn","Greece",,,,,,"01-Jan-2011",,,,"Y",5,5,,71634,,,,,,56546,33093,8
16139859,9521875,636015279,"Bulk","Ina",16622,2012,"Taizhou Sanfu",,,"09-Feb-2022","USD",10,"Undisclosed interests","Unknown","Polish Steamship Co","Poland",,,,,,"28-Apr-2008",,28.5,"$m","Y",5,5,,,"Y",,,,,16622,13579,9
16193572,9621041,538004266,"Bulk","Marine Princess",35501,2012,"COSCO Guangdong",,,"08-Feb-2022","USD",16.4,"Indian interests","India","Sohtorik Denizcilik","Turkey",,,,,,"12-Aug-2010",,,,"Y",5,5,,49124,,"N",,,,35501,23452,9
16153813,9616113,538007377,"Bulk","Super Valentina",33382,2013,"Shin Kurushima",,,"08-Feb-2022","USD",18,"Middle Eastern interests","Unknown","Taylor Maritime","Hong Kong",,,,7276,,"01-May-2008",,,,"Y",5,5,,44075,,"N",,,,33382,21201,8
16080971,9442926,370058000,"Bulk","Nord Fortune",76596,2008,"Imabari SB Marugame",,,"04-Feb-2022","USD",15,"Greek interests","Greece","Keishin Kaiun K.K.","Japan",,,,,,"01-Dec-2005",,,,"N",7,7,,90740,"N","N",,,,76596,39737,13
16175307,9490739,563070200,"Bulk","Magda",58018,2010,"Sinopacific Dayang",,,"04-Feb-2022","USD",16.5,"Greek interests","Greece","Norse Shipholding","Norway",,,,11150,,"31-Dec-2007",,40,"$m","Y",5,5,,71549,,"N",,,,58018,32837,11
