"Listing"

"WFR Listing"
"Created 09 March 2022 20:11"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","TEU","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16329249,9817884,248966000,"Container","Sabre Trader",23430,2018,"Jiangsu New YZJ",,,"25-Feb-2022","USD",44,"Undisclosed interests","Unknown","Lomar Shipping","Greece",,,,,,"12-Aug-2016",,,,1774,1774,,23430,18867,3
12934889,9127021,636017878,"Container","Avra Miteras",14587,1996,"Volkswerft",,,"23-Feb-2022",,,"Clients of MSC","Italy","Epidaurus SA","Greece",,,,5780,,"05-May-1995",,23,"$m",1122,1122,,14587,12029,25
15823065,9330252,538090588,"Container","Vega Kappa",13760,2007,"CSC Qingshan SY",,,"23-Feb-2022","USD",19,"Turkish interests","Turkey","Vega Reederei","Germany",,,,,,"20-Aug-2004",,,,1118,1118,,13760,9940,14
14615849,9256377,636018382,"Container","Hansa Magdeburg",23580,2003,"Guangzhou Wenchong",,,"22-Feb-2022","USD",30,"Clients of Mount Street","United Kingdom","Leonhardt & Blumberg","Germany",,,,,,"03-Nov-2000",,,,1740,1740,,23580,18335,18
12956531,9132399,355647000,"Container","Diana K",9821,1996,"Dae Sun Shipbuilding",,,"22-Feb-2022","USD",4,"Undisclosed interests","Unknown","CMA CGM","France",,,,,,"25-Aug-1995",,,,642,642,,9821,7260,25
16011304,9323481,636090980,"Container","Hansa Limburg",23447,2006,"Guangzhou Wenchong",,,"21-Feb-2022","USD",30,"Undisclosed interests","Unknown","Leonhardt & Blumberg","Germany",,,,,,"31-Jan-2004",,,,1740,1740,,23447,18327,15
16088027,9516765,636092906,"Container","Hansa Offenburg",23314,2011,"Guangzhou Wenchong",,,"21-Feb-2022","USD",33,"Undisclosed interests","Unknown","Leonhardt & Blumberg","Germany",,,,,,"25-May-2007",,,,1740,1740,,23314,18358,10
15885955,9343663,305002000,"Container","Okee Ortolan Theta",12779,2007,"Dae Sun Shipbuilding",,,"16-Feb-2022","USD",17.5,"Russian interests","Russia","OKEE Maritime GmbH","Germany",,,,,,"05-Nov-2004",,,,1049,1049,,12779,9850,15
15886031,9343675,305060000,"Container","Okee Ortolan Zeta",12774,2007,"Dae Sun Shipbuilding",,,"16-Feb-2022","USD",15.5,"Russian interests","Russia","OKEE Maritime GmbH","Germany",,,,,,"05-Nov-2004",,,,1049,1049,,12774,9610,14
14970917,9301122,236333000,"Container","Hooge",16987,2006,"Shandong Weihai SY",,,"16-Feb-2022","USD",23.6,"Israeli interests","Israel","Briese Schiffahrts","Germany",,,,,,"10-Sep-2001",,,,1368,1368,,16987,15633,15
16020898,9362566,255806120,"Container","Ortolan Epsilon",11814,2008,"Dae Sun Shipbuilding",,,"15-Feb-2022",,,"Russian interests","Russia","Unknown","Unknown",,,,,,"05-Aug-2005",,,,1024,1024,,11814,9272,14
16017856,9348900,538003093,"Container","Cape Magnus",37570,2008,"Aker Ostsee",,,"15-Feb-2022","USD",53,"Clients of Wan Hai Lines","Taiwan","Schoeller Holdings","Germany",,,,,,"20-Jun-2005",,51.57,"$m",2741,2741,,37570,28007,14
16058259,9429326,636019606,"Container","Vivaldi",33800,2010,"Jiangsu Yangzijiang",,,"14-Feb-2022","USD",18,"Greek interests","Greece","Tufton","United Kingdom",,,,,,"27-Oct-2006",,,,2546,2546,,33800,25320,12
15713399,9336165,636018562,"Container","Hammonia Palatium",33800,2006,"Jiangsu Yangzijiang",,,"09-Feb-2022",,,"Clients of MSC","Italy","Tufton","United Kingdom",,,,,,"02-Apr-2004",,,,2546,2546,,33800,25320,15
