mmsi,year,IMO.Number
207137000.0,2020,9558490
235102768.0,2019,9385075
238179000.0,2019,9222572
255805662.0,2019,9718442
311407000.0,2019,9227194
353511000.0,2019,9651034
354360000.0,2019,9566605
355242000.0,2019,9802243
355420000.0,2019,9145786
355899000.0,2020,9563603
370030000.0,2020,9520819
372375000.0,2019,9571600
373746000.0,2019,9610652
374119000.0,2019,9659749
374846000.0,2019,9659737
477220800.0,2020,9558282
477444800.0,2020,9520986
538004997.0,2019,9613305
538006697.0,2019,9536997
564798000.0,2019,9303924
564881000.0,2020,9648104
566854000.0,2020,9518115
636012321.0,2020,8202018
636015279.0,2020,9521875
636016416.0,2019,9432531
